key	value
T=0.63155814 || screenImage=frame9.png	[{"center":"(803.0,398.0)","visible":"true","name":"Car02","cameraDistance":"81.48973","viewed":"5.830951894845301","rotationSpeed":"0","translationSpeed":"0","size":"(11,5)"},{"center":"(795.5,399.5)","visible":"true","name":"Honda01","cameraDistance":"75.09734","viewed":"7.905694150420948","rotationSpeed":"0","translationSpeed":"0","size":"(24,8)"}]
T=1.365706 || screenImage=frame17.png	[{"center":"(697.5,405.5)","visible":"true","name":"Tyota-Harrier-01","cameraDistance":"41.7319","viewed":"8.74642784226795","rotationSpeed":"0","translationSpeed":"0","size":"(64,22)"}]
T=1.445195 || screenImage=frame18.png	[{"center":"(727.0,398.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"55.74806","viewed":"4.031128874149275","rotationSpeed":"0","translationSpeed":"0","size":"(5,14)"}]
T=1.4747103333333333 || screenImage=frame18.png	[{"center":"(727.0,398.5)","visible":"true","name":"Yellow Worker 1","cameraDistance":"55.74806","viewed":"8.32165848854662","rotationSpeed":"0","translationSpeed":"0","size":"(5,14)"}]
T=1.5042256666666667 || screenImage=frame18.png	[{"center":"(830.0,396.5)","visible":"true","name":"BMW850i","cameraDistance":"82.25692","viewed":"6.020797289396148","rotationSpeed":"0","translationSpeed":"0","size":"(9,8)"}]
T=1.652243 || screenImage=frame20.png	[{"center":"(1302.5,452.0)","visible":"true","name":"WorkerBarrier 1","cameraDistance":"62.16869","viewed":"3.0413812651491097","rotationSpeed":"0","translationSpeed":"0.619784255354837","size":"(34,19)"}]
T=1.7554783333333335 || screenImage=frame21.png	[{"center":"(1319.5,441.0)","visible":"true","name":"Yellow Worker 3","cameraDistance":"71.31499","viewed":"4.924428900898052","rotationSpeed":"0","translationSpeed":"0","size":"(12,23)"}]
T=1.8201726666666667 || screenImage=frame22.png	[{"center":"(1320.5,441.0)","visible":"true","name":"Yellow Worker 3","cameraDistance":"71.24729","viewed":"7.826237921249264","rotationSpeed":"0","translationSpeed":"0","size":"(12,23)"}]
T=1.884867 || screenImage=frame22.png	[{"center":"(1320.5,441.0)","visible":"true","name":"Yellow Worker 3","cameraDistance":"71.24729","viewed":"9.340770846134703","rotationSpeed":"0","translationSpeed":"0","size":"(12,23)"}]
T=100.0127 || screenImage=frame1409.png	[{"center":"(955.5,403.0)","visible":"true","name":"ExcavatorC-03","cameraDistance":"38.78859","viewed":"4.716990566028302","rotationSpeed":"0","translationSpeed":"0","size":"(176,95)"}]
T=100.3803 || screenImage=frame1415.png	[{"center":"(976.5,404.0)","visible":"true","name":"ExcavatorC-03","cameraDistance":"39.26696","viewed":"5.408326913195984","rotationSpeed":"0","translationSpeed":"0","size":"(170,97)"}]
