TimeStart	TimeEnd	DOI	HazardType
25.73797	46.84266	Yellow Worker 1	1
45.87452	66.99261	powerline (1)	3
45.87452	66.99261	Honda01	3
45.87452	66.99261	Car02	3
45.87452	66.99261	powerline (2)	3
54.99834	86.41019	powerline (2)	5
54.99834	86.41019	Cylinder	5
54.99834	86.41019	BMW850i	5
55.6613	74.15462667	Yellow Worker 06	1
71.46658	99.333285	Crane	7
71.46658	99.333285	Layer:0-Boundry-Wood	7
86.41019	92.12034667	WorkerSmoking	4
86.41019	92.12034667	WorkerHam	4
86.41019	92.12034667	ExcavatorD-01	4
115.0048	143.99775	WorkerSmoking 3	6
115.0048	143.99775	Layer:0-Boundry-Wood	9
147.3566333	210.88185	WorkerSmoking	4
147.3566333	222.6354	Worker struckby	4
147.3566333	210.88185	WorkerHam	4
147.3566333	210.88185	ExcavatorD-01	4
147.3566333	196.119	Crane	7
147.3566333	196.119	Layer:0-Boundry-Wood	7
190.9335	210.88185	WorkerBarrier 1	4
147.3566333	222.6354	Worker struckby	1
147.3566333	222.6354	Worker struckby	2
147.3566333	222.6354	Bulldozer B10 N080211	4
226.0418	230.3861	Worker Ham 2	4
226.0418	232.89175	rung^ladder	5
226.0418	232.89175	Worker stand N260412	5
232.89175	276.2657	WorkerSmoking 2	4
243.5376667	302.6937667	Worker Ham 2	4
243.5376667	302.6937667	rung^ladder	5
289.998825	302.6937667	White worker 1	2
289.998825	302.6937667	Yellow Worker 9	2
