where	year	mpg	hp
All	70	14.39	148
American	70	12.37	166
European	70	24	91
Japanese	70	26	91
All	71	20.51	101
American	71	18.1	113
European	71	28.7	69
Japanese	71	29.5	80
All	72	18.71	120
American	72	16.2	138
European	72	22	80
Japanese	72	24	94
All	73	17	131
American	73	15.03	146
European	73	24	82
Japanese	73	20.6	101
All	74	22.7	90
American	74	18.33	104
European	74	27	74
Japanese	74	29.33	72
All	75	20	101
American	75	17.52	109
European	75	25	90
Japanese	75	27.5	80
All	76	21.26	102
American	76	19.16	111
European	76	24.25	87
Japanese	76	28	77
All	77	23	105
American	77	20.72	118
European	77	29	81
Japanese	77	27.4	81
All	78	24	99
American	78	21.77	107
European	78	25	99
Japanese	78	30	80
All	79	25	102
American	79	23.47	109
European	79	30.4	72
Japanese	79	32	65
