label	pos
Napoleon	212.12654902999373,76.45528312243775
Myriel	177.11352227428785,124.09875997309234
MlleBaptistine	276.4367617014812,259.6029181134063
MmeMagloire	334.1778698468606,196.07942044257385
CountessDeLo	142.79524903380207,77.48169493250452
Geborand	162.6653406583709,168.02187608444413
Champtercier	125.88101391647453,142.3966446216072
Cravatte	226.75808485146132,123.3995595712133
Count	175.68852061907978,60.4784760630221
OldMan	118.05304186084382,104.33960107600761
Valjean	498.5454395691762,369.27714766147295
Labarre	465.17542284020965,401.37207028940827
Marguerite	363.7806936686828,525.3205040532064
MmeDeR	513.82350086527,315.94072592862904
Isabeau	542.9739006835641,350.25558500762656
Gervais	471.23072179772237,322.7819614218474
Listolier	110.28529396748775,700.495772398065
Tholomyes	313.7200975752652,735.7564437610489
Fameuil	193.05484097384442,856.7527509917867
Blacheville	103.28080123842341,872.8781850840683
Favourite	150.29248029010307,778.9719729434397
Dahlia	30.0,725.6415154535621
Zephine	43.026478442557504,811.040409482611
Fantine	252.38779392029255,629.6636503683969
MmeThenardier	533.4741910705737,712.8339058661718
Thenardier	703.1527004693332,615.8722002182328
Cosette	612.0373139295128,499.62902122969774
Javert	509.37697679922906,555.1023163765223
Fauchelevent	335.63501137150524,410.6224090085665
Bamatabois	453.4409043232114,238.08149222524912
Perpetue	159.58459235524901,555.5762342564137
Simplice	282.7475789226054,518.0080486787115
Scaufflaire	447.2972578496781,358.8128073247802
Woman1	428.2358883250764,465.4921635824927
Judge	610.3128123734987,140.31237083941335
Champmathieu	498.6675336118893,30.0
Brevet	584.098302955277,54.7313785024934
Chenildieu	520.5026676517375,131.67631185729613
Cochepaille	439.09800641303985,90.04105114456038
Pontmercy	845.2977825887201,412.55276126329596
Boulatruelle	675.8989226234089,581.2729239226265
Eponine	827.5252008356492,764.2447977908215
Anzelma	672.2322982496801,825.2488038536404
Woman2	578.6726518861178,409.3300548390819
MotherInnocent	378.5762729600858,335.6708426451091
Gribier	284.0805142517296,392.08531436061986
MmeBurgon	1101.0736730278222,762.3530112298254
Jondrette	1102.3247619078497,800.9260134950327
Gavroche	974.4623781097869,679.6798121108832
Gillenormand	702.425678447859,469.80241446774323
Magnon	600.1989553070716,599.7325116031991
MlleGillenormand	755.7729257874892,296.3766205590829
MmePontmercy	864.2607747765398,270.7651421076617
MlleVaubois	741.2467199902935,249.13720041598236
LtGillenormand	755.0267415699893,387.2546037837453
Marius	849.8905030354526,514.5522463728676
BaronessT	778.329521918416,519.5027297451514
Mabeuf	1068.9332138770287,575.6046927911407
Enjolras	973.3170452717479,499.0953229124377
Combeferre	1181.0124590411965,480.07667422972185
Prouvaire	1237.2605073029504,415.54050864150605
Feuilly	1100.2940984939046,455.78404706959776
Courfeyrac	1135.149091601888,639.5964370725214
Bahorel	1223.4984035026314,584.5473457974642
Bossuet	1029.7451705435842,393.2568426347629
Joly	1146.606185818001,376.9657467333288
Grantaire	1276.904978181566,508.9769809672451
MotherPlutarch	1001.7402777947061,567.4627767055765
Gueulemer	710.1338824816974,744.0178937601788
Babet	621.134765579245,769.4424971465767
Claquesous	652.1174782917183,676.0032113759409
Montparnasse	770.7086100950056,662.2563456192131
Toussaint	500.97894758638904,477.8820296910392
Child1	958.8889230952395,813.9564654936905
Child2	1031.2475175765471,824.9376108333486
Brujon	779.7946583371349,845.7412227859593
MmeHucheloup	1139.7597771012788,548.8673415414821
